MHS_setting,type,subtype,short_label,Year,Number
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2013,2572
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2014,2698
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2015,2532
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2016,2819
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2017,2908
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2018,3080
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2002,611
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2003,635
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2004,716
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2005,657
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2006,587
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2007,583
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2008,567
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2009,537
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2010,547
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2011,547
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2012,610
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2013,731
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2014,760
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2015,792
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2016,929
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2017,995
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2018,977
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2002,440
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2003,425
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2004,439
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2005,449
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2006,471
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2007,416
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2008,374
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2009,340
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2010,362
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2011,393
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2012,431
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2013,477
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2014,467
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2015,455
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2016,489
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2017,505
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2018,484
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2002,693
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2003,656
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2004,762
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2005,731
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2006,719
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2007,707
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2008,716
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2009,657
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2010,674
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2011,767
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2012,776
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2013,787
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2014,836
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2015,830
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2016,845
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2017,840
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2018,951
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2002,509
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2003,542
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2004,629
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2005,619
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2006,596
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2007,581
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2008,539
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2009,524
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2010,531
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2011,526
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2012,547
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2013,574
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2014,606
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2015,642
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2016,737
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2017,708
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2018,683
Hospital,Specialty,Inpatient,Hospital,2002,422
Hospital,Specialty,Inpatient,Hospital,2003,467
Hospital,Specialty,Inpatient,Hospital,2004,515
Hospital,Specialty,Inpatient,Hospital,2005,529
Hospital,Specialty,Inpatient,Hospital,2006,516
Hospital,Specialty,Inpatient,Hospital,2007,511
Hospital,Specialty,Inpatient,Hospital,2008,469
Hospital,Specialty,Inpatient,Hospital,2009,440
Hospital,Specialty,Inpatient,Hospital,2010,447
Hospital,Specialty,Inpatient,Hospital,2011,438
Hospital,Specialty,Inpatient,Hospital,2012,463
Hospital,Specialty,Inpatient,Hospital,2013,504
Hospital,Specialty,Inpatient,Hospital,2014,547
Hospital,Specialty,Inpatient,Hospital,2015,588
Hospital,Specialty,Inpatient,Hospital,2016,666
Hospital,Specialty,Inpatient,Hospital,2017,622
Hospital,Specialty,Inpatient,Hospital,2018,608
Residential Treatment Center,Specialty,Inpatient,Residential Center,2002,224
Residential Treatment Center,Specialty,Inpatient,Residential Center,2003,233
Residential Treatment Center,Specialty,Inpatient,Residential Center,2004,299
Residential Treatment Center,Specialty,Inpatient,Residential Center,2005,229
Residential Treatment Center,Specialty,Inpatient,Residential Center,2006,225
Residential Treatment Center,Specialty,Inpatient,Residential Center,2007,199
Residential Treatment Center,Specialty,Inpatient,Residential Center,2008,198
Residential Treatment Center,Specialty,Inpatient,Residential Center,2009,213
Residential Treatment Center,Specialty,Inpatient,Residential Center,2010,217
Residential Treatment Center,Specialty,Inpatient,Residential Center,2011,240
Residential Treatment Center,Specialty,Inpatient,Residential Center,2012,238
Residential Treatment Center,Specialty,Inpatient,Residential Center,2013,206
Residential Treatment Center,Specialty,Inpatient,Residential Center,2014,252
Residential Treatment Center,Specialty,Inpatient,Residential Center,2015,271
Residential Treatment Center,Specialty,Inpatient,Residential Center,2016,311
Residential Treatment Center,Specialty,Inpatient,Residential Center,2017,318
Residential Treatment Center,Specialty,Inpatient,Residential Center,2018,300
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2002,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2003,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2004,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2005,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2006,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2007,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2008,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2009,3430
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2010,3465
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2011,3463
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2012,3649
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2013,3634
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2014,3736
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2015,3691
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2016,3732
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2017,3810
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2018,3977
Education,Nonspecialty,Education,School total,2002,NA
Education,Nonspecialty,Education,School total,2003,NA
Education,Nonspecialty,Education,School total,2004,NA
Education,Nonspecialty,Education,School total,2005,NA
Education,Nonspecialty,Education,School total,2006,NA
Education,Nonspecialty,Education,School total,2007,NA
Education,Nonspecialty,Education,School total,2008,NA
Education,Nonspecialty,Education,School total,2009,2931
Education,Nonspecialty,Education,School total,2010,2957
Education,Nonspecialty,Education,School total,2011,2920
Education,Nonspecialty,Education,School total,2012,3157
Education,Nonspecialty,Education,School total,2013,3147
Education,Nonspecialty,Education,School total,2014,3229
Education,Nonspecialty,Education,School total,2015,3206
Education,Nonspecialty,Education,School total,2016,3193
Education,Nonspecialty,Education,School total,2017,3231
Education,Nonspecialty,Education,School total,2018,3444
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2002,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2003,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2004,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2005,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2006,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2007,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2008,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2009,2286
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2010,2214
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2011,2188
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2012,2389
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2013,2284
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2014,2379
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2015,2239
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2016,2278
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2017,2249
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2018,2395
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2002,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2003,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2004,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2005,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2006,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2007,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2008,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2009,975
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2010,1054
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2011,1063
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2012,1142
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2013,1218
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2014,1207
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2015,1357
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2016,1319
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2017,1345
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2018,1461
General Medicine,Nonspecialty,General_medicine,General Medicine,2002,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2003,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2004,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2005,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2006,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2007,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2008,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2009,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2010,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2011,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2012,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2013,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2014,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2015,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2016,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2017,NA
General Medicine,Nonspecialty,General_medicine,General Medicine,2018,NA
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2002,657
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2003,732
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2004,840
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2005,810
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2006,694
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2007,692
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2008,710
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2009,605
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2010,601
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2011,619
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2012,629
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2013,686
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2014,700
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2015,668
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2016,708
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2017,805
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2018,767
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2002,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2003,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2004,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2005,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2006,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2007,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2008,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2009,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2010,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2011,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2012,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2013,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2014,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2015,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2016,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2017,NA
Juvenile Justice,Nonspecialty,Juvenile_Justice,Justice System,2018,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2002,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2003,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2004,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2005,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2006,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2007,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2008,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2009,109
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2010,80
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2011,103
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2012,83
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2013,59
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2014,63
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2015,53
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2016,53
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2017,45
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2018,48
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2002,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2003,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2004,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2005,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2006,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2007,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2008,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2009,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2010,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2011,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2012,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2013,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2014,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2015,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2016,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2017,NA
Child Welfare,Nonspecialty,Child_Welfare,Welfare,2018,NA
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2002,157
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2003,179
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2004,158
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2005,143
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2006,129
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2007,114
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2008,118
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2009,92
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2010,108
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2011,140
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2012,96
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2013,99
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2014,92
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2015,79
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2016,108
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2017,92
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2018,94
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2002,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2003,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2004,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2005,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2006,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2007,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2008,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2009,1226
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2010,1283
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2011,1328
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2012,1397
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2013,1490
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2014,1457
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2015,1408
