MHS_setting,type,subtype,short_label,Year,Percent
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2008,1.5
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2009,1.4
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2010,1.5
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2011,1.6
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2012,1.7
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2013,1.9
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2014,1.9
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2015,1.8
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2016,2
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2017,2
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2018,2
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2002,2.8
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2003,2.6
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2004,3
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2005,2.9
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2006,2.9
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2007,2.8
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2008,2.9
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2009,2.7
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2010,2.8
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2011,3.1
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2012,3.1
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2013,3.2
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2014,3.4
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2015,3.4
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2016,3.4
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2017,3.4
InHome Therapist Counselor or Family Preservation Worker,Specialty,Outpatient,In-home Therapist,2018,3.9
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2002,2.1
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2003,2.2
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2004,2.5
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2005,2.5
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2006,2.4
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2007,2.3
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2008,2.2
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2009,2.1
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2010,2.2
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2011,2.1
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2012,2.2
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2013,2.3
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2014,2.5
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2015,2.6
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2016,3
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2017,2.9
Inpatient or Residential,Specialty,Inpatient,Inpatient total,2018,2.8
Hospital,Specialty,Inpatient,Hospital,2002,1.7
Hospital,Specialty,Inpatient,Hospital,2003,1.9
Hospital,Specialty,Inpatient,Hospital,2004,2.1
Hospital,Specialty,Inpatient,Hospital,2005,2.1
Hospital,Specialty,Inpatient,Hospital,2006,2
Hospital,Specialty,Inpatient,Hospital,2007,2
Hospital,Specialty,Inpatient,Hospital,2008,1.9
Hospital,Specialty,Inpatient,Hospital,2009,1.8
Hospital,Specialty,Inpatient,Hospital,2010,1.8
Hospital,Specialty,Inpatient,Hospital,2011,1.8
Hospital,Specialty,Inpatient,Hospital,2012,1.9
Hospital,Specialty,Inpatient,Hospital,2013,2
Hospital,Specialty,Inpatient,Hospital,2014,2.2
Hospital,Specialty,Inpatient,Hospital,2015,2.4
Hospital,Specialty,Inpatient,Hospital,2016,2.7
Hospital,Specialty,Inpatient,Hospital,2017,2.5
Hospital,Specialty,Inpatient,Hospital,2018,2.5
Residential Treatment Center,Specialty,Inpatient,Residential Center,2002,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2003,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2004,1.2
Residential Treatment Center,Specialty,Inpatient,Residential Center,2005,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2006,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2007,0.8
Residential Treatment Center,Specialty,Inpatient,Residential Center,2008,0.8
Residential Treatment Center,Specialty,Inpatient,Residential Center,2009,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2010,0.9
Residential Treatment Center,Specialty,Inpatient,Residential Center,2011,1
Residential Treatment Center,Specialty,Inpatient,Residential Center,2012,1
Residential Treatment Center,Specialty,Inpatient,Residential Center,2013,0.8
Residential Treatment Center,Specialty,Inpatient,Residential Center,2014,1
Residential Treatment Center,Specialty,Inpatient,Residential Center,2015,1.1
Residential Treatment Center,Specialty,Inpatient,Residential Center,2016,1.3
Residential Treatment Center,Specialty,Inpatient,Residential Center,2017,1.3
Residential Treatment Center,Specialty,Inpatient,Residential Center,2018,1.2
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2002,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2003,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2004,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2005,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2006,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2007,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2008,NA
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2009,14.2
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2010,14.5
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2011,14.2
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2012,15
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2013,15
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2014,15.4
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2015,15.2
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2016,15.4
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2017,15.7
NONSPECIALTY MENTAL HEALTHSERVICE,Nonspecialty,Nonspecialty_total,Nonspecialty total,2018,16.5
Education,Nonspecialty,Education,School total,2002,NA
Education,Nonspecialty,Education,School total,2003,NA
Education,Nonspecialty,Education,School total,2004,NA
Education,Nonspecialty,Education,School total,2005,NA
Education,Nonspecialty,Education,School total,2006,NA
Education,Nonspecialty,Education,School total,2007,NA
Education,Nonspecialty,Education,School total,2008,NA
Education,Nonspecialty,Education,School total,2009,12.1
Education,Nonspecialty,Education,School total,2010,12.4
Education,Nonspecialty,Education,School total,2011,11.9
Education,Nonspecialty,Education,School total,2012,12.9
Education,Nonspecialty,Education,School total,2013,13
Education,Nonspecialty,Education,School total,2014,13.2
Education,Nonspecialty,Education,School total,2015,13.2
Education,Nonspecialty,Education,School total,2016,13.1
Education,Nonspecialty,Education,School total,2017,13.3
Education,Nonspecialty,Education,School total,2018,14.2
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2002,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2003,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2004,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2005,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2006,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2007,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2008,NA
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2009,9.4
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2010,9.2
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2011,8.9
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2012,9.7
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2013,9.4
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2014,9.7
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2015,9.2
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2016,9.3
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2017,9.2
School Social Worker School Psychologist or School Counselor,Nonspecialty,Education,School Therapist,2018,9.9
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2002,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2003,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2004,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2005,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2006,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2007,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2008,NA
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2009,4
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2010,4.4
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2011,4.3
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2012,4.7
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2013,5
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2014,4.9
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2015,5.6
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2016,5.4
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2017,5.5
Special School or Program within a Regular School for Students with Emotional or Behavioral Problems,Nonspecialty,Education,School Program,2018,6
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2002,2.7
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2003,2.9
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2004,3.4
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2005,3.2
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2006,2.8
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2007,2.8
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2008,2.9
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2009,2.5
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2010,2.5
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2011,2.5
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2012,2.5
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2013,2.8
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2014,2.9
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2015,2.7
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2016,2.9
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2017,3.3
Pediatrician or Other Family Doctor,Nonspecialty,General_medicine,Family Dr,2018,3.1
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2002,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2003,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2004,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2005,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2006,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2007,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2008,NA
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2009,0.4
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2010,0.3
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2011,0.4
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2012,0.3
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2013,0.2
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2014,0.3
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2015,0.2
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2016,0.2
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2017,0.2
Juvenile Detention Center Prison or Jail,Nonspecialty,Juvenile_Justice,Justice System,2018,0.2
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2002,0.6
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2003,0.7
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2004,0.6
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2005,0.6
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2006,0.5
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2007,0.5
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2008,0.5
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2009,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2010,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2011,0.6
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2012,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2013,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2014,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2015,0.3
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2016,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2017,0.4
Foster Care or Therapeutic Foster Care,Nonspecialty,Child_Welfare,Fostercare,2018,0.4
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2002,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2003,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2004,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2005,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2006,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2007,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2008,NA
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2009,5
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2010,5.3
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2011,5.4
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2012,5.7
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2013,6.1
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2014,5.9
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2015,5.7
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2016,6.2
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2017,6.6
SPECIALTY MENTAL HEALTH SERVICESAND EDUCATION GENERAL MEDICINEOR CHILD WELFARE SERVICES,Nonspecialty,combination,Specialty Combination,2018,7
